SHEET: MP2 Calculator
Shape: 78 rows x 16 columns

     0                    1                2              3              4                5                6            7   8                    9                10             11             12               13               14           15
0     E                  NaN              NaN            NaN            NaN              NaN              NaN          NaN NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN
1   NaN               MONTHS  Monthly Deposit  Total Savings  Interest Rate  Entitled Months  Dividend Income  Total Money NaN               MONTHS  Monthly Deposit  Total Savings  Interest Rate  Entitled Months  Dividend Income  Total Money
2   NaN  2024-01-01 00:00:00             2000            NaN          0.071               12              142         2142 NaN  2024-01-01 00:00:00             2000  481371.080123          0.071               12              142  483513.0801
3   NaN  2024-02-01 00:00:00             2000            NaN          0.071               11       130.166667  2130.166667 NaN  2024-02-01 00:00:00             2000            NaN          0.071               11       130.166667  2130.166667
4   NaN  2024-03-01 00:00:00             2000            NaN          0.071               10       118.333333  2118.333333 NaN  2024-03-01 00:00:00             2000            NaN          0.071               10       118.333333  2118.333333
5   NaN  2024-04-01 00:00:00             2000            NaN          0.071                9            106.5       2106.5 NaN  2024-04-01 00:00:00             2000            NaN          0.071                9            106.5       2106.5
6   NaN  2024-05-01 00:00:00             2000            NaN          0.071                8        94.666667  2094.666667 NaN  2024-05-01 00:00:00             2000            NaN          0.071                8        94.666667  2094.666667
7   NaN  2024-06-01 00:00:00             2000            NaN          0.071                7        82.833333  2082.833333 NaN  2024-06-01 00:00:00             2000            NaN          0.071                7        82.833333  2082.833333
8   NaN  2024-07-01 00:00:00             2000            NaN          0.071                6               71         2071 NaN  2024-07-01 00:00:00             2000            NaN          0.071                6               71         2071
9   NaN  2024-08-01 00:00:00             2000            NaN          0.071                5        59.166667  2059.166667 NaN  2024-08-01 00:00:00             2000            NaN          0.071                5        59.166667  2059.166667
10  NaN  2024-09-01 00:00:00             2000            NaN          0.071                4        47.333333  2047.333333 NaN  2024-09-01 00:00:00             2000            NaN          0.071                4        47.333333  2047.333333
11  NaN  2024-10-01 00:00:00             2000            NaN          0.071                3             35.5       2035.5 NaN  2024-10-01 00:00:00             2000            NaN          0.071                3             35.5       2035.5
12  NaN  2024-11-01 00:00:00             2000            NaN          0.071                2        23.666667  2023.666667 NaN  2024-11-01 00:00:00             2000            NaN          0.071                2        23.666667  2023.666667
13  NaN  2024-12-01 00:00:00             2000            NaN          0.071                1        11.833333  2011.833333 NaN  2024-12-01 00:00:00             2000            NaN          0.071                1        11.833333  2011.833333
14  NaN            Year 2024            24000            NaN            NaN              NaN              NaN        24923 NaN            Year 2024            24000            NaN            NaN              NaN              NaN  506294.0801
15  NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN
16  NaN                  NaN              NaN          24923          0.071               12         1769.533    26692.533 NaN                  NaN              NaN    506294.0801          0.071               12      35946.87969  542240.9598
17  NaN  2025-01-01 00:00:00             2000            NaN          0.071               12              142         2142 NaN  2025-01-01 00:00:00             2000            NaN          0.071               12              142         2142
18  NaN  2025-02-01 00:00:00             2000            NaN          0.071               11       130.166667  2130.166667 NaN  2025-02-01 00:00:00             2000            NaN          0.071               11       130.166667  2130.166667
19  NaN  2025-03-01 00:00:00             2000            NaN          0.071               10       118.333333  2118.333333 NaN  2025-03-01 00:00:00             2000            NaN          0.071               10       118.333333  2118.333333
20  NaN  2025-04-01 00:00:00             2000            NaN          0.071                9            106.5       2106.5 NaN  2025-04-01 00:00:00             2000            NaN          0.071                9            106.5       2106.5
21  NaN  2025-05-01 00:00:00             2000            NaN          0.071                8        94.666667  2094.666667 NaN  2025-05-01 00:00:00             2000            NaN          0.071                8        94.666667  2094.666667
22  NaN  2025-06-01 00:00:00             2000            NaN          0.071                7        82.833333  2082.833333 NaN  2025-06-01 00:00:00             2000            NaN          0.071                7        82.833333  2082.833333
23  NaN  2025-07-01 00:00:00             2000            NaN          0.071                6               71         2071 NaN  2025-07-01 00:00:00             2000            NaN          0.071                6               71         2071
24  NaN  2025-08-01 00:00:00             2000            NaN          0.071                5        59.166667  2059.166667 NaN  2025-08-01 00:00:00             2000            NaN          0.071                5        59.166667  2059.166667
25  NaN  2025-09-01 00:00:00             2000            NaN          0.071                4        47.333333  2047.333333 NaN  2025-09-01 00:00:00             2000            NaN          0.071                4        47.333333  2047.333333
26  NaN  2025-10-01 00:00:00             2000            NaN          0.071                3             35.5       2035.5 NaN  2025-10-01 00:00:00             2000            NaN          0.071                3             35.5       2035.5
27  NaN  2025-11-01 00:00:00             2000            NaN          0.071                2        23.666667  2023.666667 NaN  2025-11-01 00:00:00             2000            NaN          0.071                2        23.666667  2023.666667
28  NaN  2025-12-01 00:00:00             2000            NaN          0.071                1        11.833333  2011.833333 NaN  2025-12-01 00:00:00             2000            NaN          0.071                1        11.833333  2011.833333
29  NaN            Year 2025            24000            NaN            NaN              NaN              NaN    51615.533 NaN            Year 2025            24000            NaN            NaN              NaN              NaN  567163.9598
30  NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN
31  NaN                  NaN              NaN      51615.533          0.071               12      3664.702843  55280.23584 NaN                  NaN              NaN    567163.9598          0.071               12      40268.64115   607432.601
32  NaN  2026-01-01 00:00:00           100000            NaN          0.071               12             7100       107100 NaN  2026-01-01 00:00:00           100000            NaN          0.071               12             7100       107100
33  NaN  2026-02-01 00:00:00             2000            NaN          0.071               11       130.166667  2130.166667 NaN  2026-02-01 00:00:00             2000            NaN          0.071               11       130.166667  2130.166667
34  NaN  2026-03-01 00:00:00             2000            NaN          0.071               10       118.333333  2118.333333 NaN  2026-03-01 00:00:00             2000            NaN          0.071               10       118.333333  2118.333333
35  NaN  2026-04-01 00:00:00             2000            NaN          0.071                9            106.5       2106.5 NaN  2026-04-01 00:00:00             2000            NaN          0.071                9            106.5       2106.5
36  NaN  2026-05-01 00:00:00             2000            NaN          0.071                8        94.666667  2094.666667 NaN  2026-05-01 00:00:00             2000            NaN          0.071                8        94.666667  2094.666667
37  NaN  2026-06-01 00:00:00             2000            NaN          0.071                7        82.833333  2082.833333 NaN  2026-06-01 00:00:00             2000            NaN          0.071                7        82.833333  2082.833333
38  NaN  2026-07-01 00:00:00             2000            NaN          0.071                6               71         2071 NaN  2026-07-01 00:00:00             2000            NaN          0.071                6               71         2071
39  NaN  2026-08-01 00:00:00             2000            NaN          0.071                5        59.166667  2059.166667 NaN  2026-08-01 00:00:00             2000            NaN          0.071                5        59.166667  2059.166667
40  NaN  2026-09-01 00:00:00             2000            NaN          0.071                4        47.333333  2047.333333 NaN  2026-09-01 00:00:00             2000            NaN          0.071                4        47.333333  2047.333333
41  NaN  2026-10-01 00:00:00             2000            NaN          0.071                3             35.5       2035.5 NaN  2026-10-01 00:00:00             2000            NaN          0.071                3             35.5       2035.5
42  NaN  2026-11-01 00:00:00             2000            NaN          0.071                2        23.666667  2023.666667 NaN  2026-11-01 00:00:00             2000            NaN          0.071                2        23.666667  2023.666667
43  NaN  2026-12-01 00:00:00             2000            NaN          0.071                1        11.833333  2011.833333 NaN  2026-12-01 00:00:00             2000            NaN          0.071                1        11.833333  2011.833333
44  NaN            Year 2026           122000            NaN            NaN              NaN              NaN  185161.2358 NaN            Year 2026           122000            NaN            NaN              NaN              NaN   737313.601
45  NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN
46  NaN                  NaN              NaN    185161.2358          0.071               12      13146.44774  198307.6836 NaN                  NaN              NaN     737313.601          0.071               12      52349.26567  789662.8666
47  NaN  2027-01-01 00:00:00           100000            NaN          0.071               12             7100       107100 NaN  2027-01-01 00:00:00           100000            NaN          0.071               12             7100       107100
48  NaN  2027-02-01 00:00:00             2000            NaN          0.071               11       130.166667  2130.166667 NaN  2027-02-01 00:00:00             2000            NaN          0.071               11       130.166667  2130.166667
49  NaN  2027-03-01 00:00:00             2000            NaN          0.071               10       118.333333  2118.333333 NaN  2027-03-01 00:00:00             2000            NaN          0.071               10       118.333333  2118.333333
50  NaN  2027-04-01 00:00:00             2000            NaN          0.071                9            106.5       2106.5 NaN  2027-04-01 00:00:00             2000            NaN          0.071                9            106.5       2106.5
51  NaN  2027-05-01 00:00:00             2000            NaN          0.071                8        94.666667  2094.666667 NaN  2027-05-01 00:00:00             2000            NaN          0.071                8        94.666667  2094.666667
52  NaN  2027-06-01 00:00:00             2000            NaN          0.071                7        82.833333  2082.833333 NaN  2027-06-01 00:00:00             2000            NaN          0.071                7        82.833333  2082.833333
53  NaN  2027-07-01 00:00:00             2000            NaN          0.071                6               71         2071 NaN  2027-07-01 00:00:00             2000            NaN          0.071                6               71         2071
54  NaN  2027-08-01 00:00:00             2000            NaN          0.071                5        59.166667  2059.166667 NaN  2027-08-01 00:00:00             2000            NaN          0.071                5        59.166667  2059.166667
55  NaN  2027-09-01 00:00:00             2000            NaN          0.071                4        47.333333  2047.333333 NaN  2027-09-01 00:00:00             2000            NaN          0.071                4        47.333333  2047.333333
56  NaN  2027-10-01 00:00:00             2000            NaN          0.071                3             35.5       2035.5 NaN  2027-10-01 00:00:00             2000            NaN          0.071                3             35.5       2035.5
57  NaN  2027-11-01 00:00:00             2000            NaN          0.071                2        23.666667  2023.666667 NaN  2027-11-01 00:00:00             2000            NaN          0.071                2        23.666667  2023.666667
58  NaN  2027-12-01 00:00:00             2000            NaN          0.071                1        11.833333  2011.833333 NaN  2027-12-01 00:00:00             2000            NaN          0.071                1        11.833333  2011.833333
59  NaN            Year 2027           122000            NaN            NaN              NaN              NaN  328188.6836 NaN            Year 2027           122000            NaN            NaN              NaN              NaN  919543.8666
60  NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN NaN                  NaN              NaN            NaN            NaN              NaN              NaN          NaN
61  NaN                  NaN              NaN    328188.6836          0.071               12      23301.39653  351490.0801 NaN                  NaN              NaN    919543.8666          0.071               12      65287.61453  984831.4812
62  NaN  2028-01-01 00:00:00           100000            NaN          0.071               12             7100       107100 NaN  2028-01-01 00:00:00           100000            NaN          0.071               12             7100       107100
