SHEET: Payment
Shape: 1000 rows x 7 columns

                       0      1       2              3                  4                  5        6
0                Payment    NaN     NaN            NaN                NaN                NaN      NaN
1                   Date   Name  Amount  Days Rendered  Interest Garnered  Ramaining Balance  Balance
2    2026-03-17 00:00:00  Mikay     NaN             45                NaN               5750     5750
3                    NaN    NaN     NaN            NaN                NaN                NaN        0
4                    NaN    NaN     NaN            NaN                NaN                NaN        0
5                    NaN    NaN     NaN            NaN                NaN                NaN        0
6                    NaN    NaN     NaN            NaN                NaN                NaN        0
7                    NaN    NaN     NaN            NaN                NaN                NaN        0
8                    NaN    NaN     NaN            NaN                NaN                NaN        0
9                    NaN    NaN     NaN            NaN                NaN                NaN        0
10                   NaN    NaN     NaN            NaN                NaN                NaN        0
11                   NaN    NaN     NaN            NaN                NaN                NaN        0
12                   NaN    NaN     NaN            NaN                NaN                NaN        0
13                   NaN    NaN     NaN            NaN                NaN                NaN        0
14                   NaN    NaN     NaN            NaN                NaN                NaN        0
15                   NaN    NaN     NaN            NaN                NaN                NaN        0
16                   NaN    NaN     NaN            NaN                NaN                NaN        0
17                   NaN    NaN     NaN            NaN                NaN                NaN        0
18                   NaN    NaN     NaN            NaN                NaN                NaN        0
19                   NaN    NaN     NaN            NaN                NaN                NaN        0
20                   NaN    NaN     NaN            NaN                NaN                NaN        0
21                   NaN    NaN     NaN            NaN                NaN                NaN        0
22                   NaN    NaN     NaN            NaN                NaN                NaN        0
23                   NaN    NaN     NaN            NaN                NaN                NaN        0
24                   NaN    NaN     NaN            NaN                NaN                NaN        0
25                   NaN    NaN     NaN            NaN                NaN                NaN        0
26                   NaN    NaN     NaN            NaN                NaN                NaN        0
27                   NaN    NaN     NaN            NaN                NaN                NaN        0
28                   NaN    NaN     NaN            NaN                NaN                NaN        0
29                   NaN    NaN     NaN            NaN                NaN                NaN        0
30                   NaN    NaN     NaN            NaN                NaN                NaN        0
31                   NaN    NaN     NaN            NaN                NaN                NaN        0
32                   NaN    NaN     NaN            NaN                NaN                NaN        0
33                   NaN    NaN     NaN            NaN                NaN                NaN        0
34                   NaN    NaN     NaN            NaN                NaN                NaN        0
35                   NaN    NaN     NaN            NaN                NaN                NaN        0
36                   NaN    NaN     NaN            NaN                NaN                NaN        0
37                   NaN    NaN     NaN            NaN                NaN                NaN        0
38                   NaN    NaN     NaN            NaN                NaN                NaN        0
39                   NaN    NaN     NaN            NaN                NaN                NaN        0
40                   NaN    NaN     NaN            NaN                NaN                NaN        0
41                   NaN    NaN     NaN            NaN                NaN                NaN        0
42                   NaN    NaN     NaN            NaN                NaN                NaN        0
43                   NaN    NaN     NaN            NaN                NaN                NaN        0
44                   NaN    NaN     NaN            NaN                NaN                NaN        0
45                   NaN    NaN     NaN            NaN                NaN                NaN        0
46                   NaN    NaN     NaN            NaN                NaN                NaN        0
47                   NaN    NaN     NaN            NaN                NaN                NaN        0
48                   NaN    NaN     NaN            NaN                NaN                NaN        0
49                   NaN    NaN     NaN            NaN                NaN                NaN        0
50                   NaN    NaN     NaN            NaN                NaN                NaN        0
51                   NaN    NaN     NaN            NaN                NaN                NaN        0
52                   NaN    NaN     NaN            NaN                NaN                NaN        0
53                   NaN    NaN     NaN            NaN                NaN                NaN        0
54                   NaN    NaN     NaN            NaN                NaN                NaN        0
55                   NaN    NaN     NaN            NaN                NaN                NaN        0
56                   NaN    NaN     NaN            NaN                NaN                NaN        0
57                   NaN    NaN     NaN            NaN                NaN                NaN        0
58                   NaN    NaN     NaN            NaN                NaN                NaN        0
59                   NaN    NaN     NaN            NaN                NaN                NaN        0
60                   NaN    NaN     NaN            NaN                NaN                NaN        0
61                   NaN    NaN     NaN            NaN                NaN                NaN        0
62                   NaN    NaN     NaN            NaN                NaN                NaN        0
63                   NaN    NaN     NaN            NaN                NaN                NaN        0
64                   NaN    NaN     NaN            NaN                NaN                NaN        0
65                   NaN    NaN     NaN            NaN                NaN                NaN        0
66                   NaN    NaN     NaN            NaN                NaN                NaN        0
67                   NaN    NaN     NaN            NaN                NaN                NaN        0
68                   NaN    NaN     NaN            NaN                NaN                NaN        0
69                   NaN    NaN     NaN            NaN                NaN                NaN        0
70                   NaN    NaN     NaN            NaN                NaN                NaN        0
71                   NaN    NaN     NaN            NaN                NaN                NaN        0
72                   NaN    NaN     NaN            NaN                NaN                NaN        0
73                   NaN    NaN     NaN            NaN                NaN                NaN        0
74                   NaN    NaN     NaN            NaN                NaN                NaN        0
75                   NaN    NaN     NaN            NaN                NaN                NaN        0
76                   NaN    NaN     NaN            NaN                NaN                NaN        0
77                   NaN    NaN     NaN            NaN                NaN                NaN        0
78                   NaN    NaN     NaN            NaN                NaN                NaN        0
79                   NaN    NaN     NaN            NaN                NaN                NaN        0
80                   NaN    NaN     NaN            NaN                NaN                NaN        0
81                   NaN    NaN     NaN            NaN                NaN                NaN        0
82                   NaN    NaN     NaN            NaN                NaN                NaN        0
83                   NaN    NaN     NaN            NaN                NaN                NaN        0
84                   NaN    NaN     NaN            NaN                NaN                NaN        0
85                   NaN    NaN     NaN            NaN                NaN                NaN        0
86                   NaN    NaN     NaN            NaN                NaN                NaN        0
87                   NaN    NaN     NaN            NaN                NaN                NaN        0
88                   NaN    NaN     NaN            NaN                NaN                NaN        0
89                   NaN    NaN     NaN            NaN                NaN                NaN        0
90                   NaN    NaN     NaN            NaN                NaN                NaN        0
91                   NaN    NaN     NaN            NaN                NaN                NaN        0
92                   NaN    NaN     NaN            NaN                NaN                NaN        0
93                   NaN    NaN     NaN            NaN                NaN                NaN        0
94                   NaN    NaN     NaN            NaN                NaN                NaN        0
95                   NaN    NaN     NaN            NaN                NaN                NaN        0
96                   NaN    NaN     NaN            NaN                NaN                NaN        0
97                   NaN    NaN     NaN            NaN                NaN                NaN        0
98                   NaN    NaN     NaN            NaN                NaN                NaN        0
99                   NaN    NaN     NaN            NaN                NaN                NaN        0
100                  NaN    NaN     NaN            NaN                NaN                NaN        0
101                  NaN    NaN     NaN            NaN                NaN                NaN        0
102                  NaN    NaN     NaN            NaN                NaN                NaN        0
103                  NaN    NaN     NaN            NaN                NaN                NaN        0
104                  NaN    NaN     NaN            NaN                NaN                NaN        0
105                  NaN    NaN     NaN            NaN                NaN                NaN        0
106                  NaN    NaN     NaN            NaN                NaN                NaN        0
107                  NaN    NaN     NaN            NaN                NaN                NaN        0
108                  NaN    NaN     NaN            NaN                NaN                NaN        0
109                  NaN    NaN     NaN            NaN                NaN                NaN        0
110                  NaN    NaN     NaN            NaN                NaN                NaN        0
111                  NaN    NaN     NaN            NaN                NaN                NaN        0
112                  NaN    NaN     NaN            NaN                NaN                NaN        0
113                  NaN    NaN     NaN            NaN                NaN                NaN        0
114                  NaN    NaN     NaN            NaN                NaN                NaN        0
115                  NaN    NaN     NaN            NaN                NaN                NaN        0
116                  NaN    NaN     NaN            NaN                NaN                NaN        0
117                  NaN    NaN     NaN            NaN                NaN                NaN        0
118                  NaN    NaN     NaN            NaN                NaN                NaN        0
119                  NaN    NaN     NaN            NaN                NaN                NaN        0
120                  NaN    NaN     NaN            NaN                NaN                NaN        0
121                  NaN    NaN     NaN            NaN                NaN                NaN        0
122                  NaN    NaN     NaN            NaN                NaN                NaN        0
123                  NaN    NaN     NaN            NaN                NaN                NaN        0
124                  NaN    NaN     NaN            NaN                NaN                NaN        0
125                  NaN    NaN     NaN            NaN                NaN                NaN        0
126                  NaN    NaN     NaN            NaN                NaN                NaN        0
127                  NaN    NaN     NaN            NaN                NaN                NaN        0
128                  NaN    NaN     NaN            NaN                NaN                NaN        0
129                  NaN    NaN     NaN            NaN                NaN                NaN        0
130                  NaN    NaN     NaN            NaN                NaN                NaN        0
131                  NaN    NaN     NaN            NaN                NaN                NaN        0
132                  NaN    NaN     NaN            NaN                NaN                NaN        0
133                  NaN    NaN     NaN            NaN                NaN                NaN        0
134                  NaN    NaN     NaN            NaN                NaN                NaN        0
135                  NaN    NaN     NaN            NaN                NaN                NaN        0
136                  NaN    NaN     NaN            NaN                NaN                NaN        0
137                  NaN    NaN     NaN            NaN                NaN                NaN        0
138                  NaN    NaN     NaN            NaN                NaN                NaN        0
139                  NaN    NaN     NaN            NaN                NaN                NaN        0
140                  NaN    NaN     NaN            NaN                NaN                NaN        0
141                  NaN    NaN     NaN            NaN                NaN                NaN        0
142                  NaN    NaN     NaN            NaN                NaN                NaN        0
143                  NaN    NaN     NaN            NaN                NaN                NaN        0
144                  NaN    NaN     NaN            NaN                NaN                NaN        0
145                  NaN    NaN     NaN            NaN                NaN                NaN        0
146                  NaN    NaN     NaN            NaN                NaN                NaN        0
147                  NaN    NaN     NaN            NaN                NaN                NaN        0
148                  NaN    NaN     NaN            NaN                NaN                NaN        0
149                  NaN    NaN     NaN            NaN                NaN                NaN        0
150                  NaN    NaN     NaN            NaN                NaN                NaN        0
151                  NaN    NaN     NaN            NaN                NaN                NaN        0
152                  NaN    NaN     NaN            NaN                NaN                NaN        0
153                  NaN    NaN     NaN            NaN                NaN                NaN        0
154                  NaN    NaN     NaN            NaN                NaN                NaN        0
155                  NaN    NaN     NaN            NaN                NaN                NaN        0
156                  NaN    NaN     NaN            NaN                NaN                NaN        0
157                  NaN    NaN     NaN            NaN                NaN                NaN        0
158                  NaN    NaN     NaN            NaN                NaN                NaN        0
159                  NaN    NaN     NaN            NaN                NaN                NaN        0
160                  NaN    NaN     NaN            NaN                NaN                NaN        0
161                  NaN    NaN     NaN            NaN                NaN                NaN        0
162                  NaN    NaN     NaN            NaN                NaN                NaN        0
163                  NaN    NaN     NaN            NaN                NaN                NaN        0
164                  NaN    NaN     NaN            NaN                NaN                NaN        0
165                  NaN    NaN     NaN            NaN                NaN                NaN        0
166                  NaN    NaN     NaN            NaN                NaN                NaN        0
167                  NaN    NaN     NaN            NaN                NaN                NaN        0
168                  NaN    NaN     NaN            NaN                NaN                NaN        0
169                  NaN    NaN     NaN            NaN                NaN                NaN        0
170                  NaN    NaN     NaN            NaN                NaN                NaN        0
171                  NaN    NaN     NaN            NaN                NaN                NaN        0
172                  NaN    NaN     NaN            NaN                NaN                NaN        0
173                  NaN    NaN     NaN            NaN                NaN                NaN        0
174                  NaN    NaN     NaN            NaN                NaN                NaN        0
175                  NaN    NaN     NaN            NaN                NaN                NaN        0
176                  NaN    NaN     NaN            NaN                NaN                NaN        0
177                  NaN    NaN     NaN            NaN                NaN                NaN        0
178                  NaN    NaN     NaN            NaN                NaN                NaN        0
179                  NaN    NaN     NaN            NaN                NaN                NaN        0
180                  NaN    NaN     NaN            NaN                NaN                NaN        0
181                  NaN    NaN     NaN            NaN                NaN                NaN        0
182                  NaN    NaN     NaN            NaN                NaN                NaN        0
