SHEET: Utang Business
Shape: 1000 rows x 12 columns

                               0                    1               2              3                 4                        5                        6           7                    8                    9                           10                                11
0    DEBT CALCULATOR FOR BUSINESS                  NaN             NaN            NaN               NaN                      NaN                      NaN         NaN                  NaN                  NaN                         NaN                               NaN
1                            Name           Date Start  Principal Debt  Interest Rate  Interest Monthly  Count Number of Payment  Daily Interest Garnered  FirstMonth  Total Payments Made    Last Payment Date  Balance After Last Payment  Number of Days from last Payment
2                           Mikay  2026-01-31 00:00:00            5000            0.1               500                        1                16.666667        5500                    0  2026-03-17 00:00:00                        5750                           No Data
3                             NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
4                             NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
5                             NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
6                             NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
7                             NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
8                             NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
9                             NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
10                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
11                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
12                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
13                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
14                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
15                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
16                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
17                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
18                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
19                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
20                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
21                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
22                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
23                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
24                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
25                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
26                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
27                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
28                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
29                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
30                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
31                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
32                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
33                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
34                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
35                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
36                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
37                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
38                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
39                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
40                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
41                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
42                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
43                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
44                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
45                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
46                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
47                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
48                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
49                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
50                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
51                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
52                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
53                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
54                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
55                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
56                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
57                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
58                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
59                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
60                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
61                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
62                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
63                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
64                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
65                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
66                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
67                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
68                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
69                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
70                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
71                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
72                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
73                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
74                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
75                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
76                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
77                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
78                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
79                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
80                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
81                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
82                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
83                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
84                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
85                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
86                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
87                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
88                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
89                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
90                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
91                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
92                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
93                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
94                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
95                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
96                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
97                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
98                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
